Sno,lang,title,url,lang_small
0,A# .NET,A Sharp (.NET),https://en.wikipedia.org/wiki/A_Sharp_(.NET),a# .net
1,A# (Axiom),A Sharp (Axiom),https://en.wikipedia.org/wiki/A_Sharp_(Axiom),a# (axiom)
2,A-0 System,A-0 System,https://en.wikipedia.org/wiki/A-0_System,a-0 system
3,A+,A+ (programming language),https://en.wikipedia.org/wiki/A%2B_(programming_language),a+
4,A++,A++,https://en.wikipedia.org/wiki/A%2B%2B,a++
5,ABAP,ABAP,https://en.wikipedia.org/wiki/ABAP,abap
6,ABC,ABC (programming language),https://en.wikipedia.org/wiki/ABC_(programming_language),abc
7,ABC ALGOL,ABC ALGOL,https://en.wikipedia.org/wiki/ABC_ALGOL,abc algol
8,ABSET,ABSET,https://en.wikipedia.org/wiki/ABSET,abset
9,ABSYS,ABSYS,https://en.wikipedia.org/wiki/ABSYS,absys
10,ACC,ACC (programming language),https://en.wikipedia.org/wiki/ACC_(programming_language),acc
11,Accent,Accent (programming language),https://en.wikipedia.org/wiki/Accent_(programming_language),accent
12,Ace DASL (Distributed Application Specification Language),Distributed Application Specification Language,https://en.wikipedia.org/wiki/Distributed_Application_Specification_Language,ace dasl (distributed application specification language)
13,ACL2,ACL2,https://en.wikipedia.org/wiki/ACL2,acl2
14,ACT-III,LGP-30,https://en.wikipedia.org/wiki/LGP-30#ACT-III_programming_language,act-iii
15,Action!,Action! (programming language),https://en.wikipedia.org/wiki/Action!_(programming_language),action!
16,ActionScript,ActionScript,https://en.wikipedia.org/wiki/ActionScript,actionscript
17,Actor,Actor (programming language),https://en.wikipedia.org/wiki/Actor_(programming_language),actor
18,Ada,Ada (programming language),https://en.wikipedia.org/wiki/Ada_(programming_language),ada
19,Adenine,Adenine (programming language),https://en.wikipedia.org/wiki/Adenine_(programming_language),adenine
20,Agda,Agda (theorem prover),https://en.wikipedia.org/wiki/Agda_(theorem_prover),agda
21,Agilent VEE,Agilent VEE,https://en.wikipedia.org/wiki/Agilent_VEE,agilent vee
22,Agora,Agora (programming language),https://en.wikipedia.org/wiki/Agora_(programming_language),agora
23,AIMMS,AIMMS,https://en.wikipedia.org/wiki/AIMMS,aimms
24,Aldor,Aldor,https://en.wikipedia.org/wiki/Aldor,aldor
25,Alef,Alef (programming language),https://en.wikipedia.org/wiki/Alef_(programming_language),alef
26,ALF,Algebraic Logic Functional programming language,https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language,alf
27,ALGOL 58,ALGOL 58,https://en.wikipedia.org/wiki/ALGOL_58,algol 58
28,ALGOL 60,ALGOL 60,https://en.wikipedia.org/wiki/ALGOL_60,algol 60
29,ALGOL 68,ALGOL 68,https://en.wikipedia.org/wiki/ALGOL_68,algol 68
30,ALGOL W,ALGOL W,https://en.wikipedia.org/wiki/ALGOL_W,algol w
31,Alice,Alice (programming language),https://en.wikipedia.org/wiki/Alice_(programming_language),alice
32,Alma-0,Alma-0,https://en.wikipedia.org/wiki/Alma-0,alma-0
33,AmbientTalk,AmbientTalk,https://en.wikipedia.org/wiki/AmbientTalk,ambienttalk
34,Amiga E,Amiga E,https://en.wikipedia.org/wiki/Amiga_E,amiga e
35,AMOS,AMOS (programming language),https://en.wikipedia.org/wiki/AMOS_(programming_language),amos
36,AMPL,AMPL,https://en.wikipedia.org/wiki/AMPL,ampl
37,AngelScript,AngelScript,https://en.wikipedia.org/wiki/AngelScript,angelscript
38,Apex,Apex (programming language),https://en.wikipedia.org/wiki/Apex_(programming_language),apex
39,APL,APL (programming language),https://en.wikipedia.org/wiki/APL_(programming_language),apl
40,App Inventor for Android's visual block language,App Inventor for Android (programming language),https://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language),app inventor for android's visual block language
41,AppleScript,AppleScript,https://en.wikipedia.org/wiki/AppleScript,applescript
42,APT,APT (programming language),https://en.wikipedia.org/wiki/APT_(programming_language),apt
43,Arc,Arc (programming language),https://en.wikipedia.org/wiki/Arc_(programming_language),arc
44,ARexx,ARexx,https://en.wikipedia.org/wiki/ARexx,arexx
45,Argus,Argus (programming language),https://en.wikipedia.org/wiki/Argus_(programming_language),argus
46,AspectJ,AspectJ,https://en.wikipedia.org/wiki/AspectJ,aspectj
47,Assembly language,Assembly language,https://en.wikipedia.org/wiki/Assembly_language,assembly language
48,ATS,ATS (programming language),https://en.wikipedia.org/wiki/ATS_(programming_language),ats
49,Ateji PX,Ateji PX,https://en.wikipedia.org/wiki/Ateji_PX,ateji px
50,AutoHotkey,AutoHotkey,https://en.wikipedia.org/wiki/AutoHotkey,autohotkey
51,Autocoder,Autocoder,https://en.wikipedia.org/wiki/Autocoder,autocoder
52,AutoIt,AutoIt,https://en.wikipedia.org/wiki/AutoIt,autoit
53,AutoLISP / Visual LISP,AutoLISP,https://en.wikipedia.org/wiki/AutoLISP,autolisp / visual lisp
54,Averest,Averest,https://en.wikipedia.org/wiki/Averest,averest
55,AWK,AWK,https://en.wikipedia.org/wiki/AWK,awk
56,Axum,Axum (programming language),https://en.wikipedia.org/wiki/Axum_(programming_language),axum
57,Active Server Pages,Active Server Pages,https://en.wikipedia.org/wiki/Active_Server_Pages,active server pages
58,B,B (programming language),https://en.wikipedia.org/wiki/B_(programming_language),b
59,Babbage,Babbage (programming language),https://en.wikipedia.org/wiki/Babbage_(programming_language),babbage
60,Bash,Bash (Unix shell),https://en.wikipedia.org/wiki/Bash_(Unix_shell),bash
61,BASIC,BASIC,https://en.wikipedia.org/wiki/BASIC,basic
62,bc,Bc (programming language),https://en.wikipedia.org/wiki/Bc_(programming_language),bc
63,BCPL,BCPL,https://en.wikipedia.org/wiki/BCPL,bcpl
64,BeanShell,BeanShell,https://en.wikipedia.org/wiki/BeanShell,beanshell
65,Batch (Windows/Dos),Batch file,https://en.wikipedia.org/wiki/Batch_file,batch (windows/dos)
66,Bertrand,Bertrand (programming language),https://en.wikipedia.org/wiki/Bertrand_(programming_language),bertrand
67,BETA,BETA (programming language),https://en.wikipedia.org/wiki/BETA_(programming_language),beta
68,Bistro,Bistro (programming language),https://en.wikipedia.org/wiki/Bistro_(programming_language),bistro
69,BLISS,BLISS (programming language),https://en.wikipedia.org/wiki/BLISS_(programming_language),bliss
70,Blockly,Blockly,https://en.wikipedia.org/wiki/Blockly,blockly
